Year,Area,ANZSIC06,Measure,Value,Flags
"2018","Canterbury Region","I490 Air and Space Transport","Geographic Units",45,
"2018","Canterbury Region","I501 Scenic and Sightseeing Transport","Geographic Units",66,
"2018","Canterbury Region","I471 Rail Freight Transport","Geographic Units",6,
"2018","Canterbury Region","I472 Rail Passenger Transport","Geographic Units",0,
"2018","Canterbury Region","I481 Water Freight Transport","Geographic Units",6,
"2018","Canterbury Region","H453 Clubs (Hospitality)","Geographic Units",75,
"2018","Canterbury Region","I461 Road Freight Transport","Geographic Units",603,
"2018","Canterbury Region","I462 Road Passenger Transport","Geographic Units",555,
"2018","Canterbury Region","H440 Accommodation","Geographic Units",843,
"2018","Canterbury Region","H451 Cafes, Restaurants and Takeaway Food Services","Geographic Units",1944,
"2018","Canterbury Region","H452 Pubs, Taverns and Bars","Geographic Units",231,
"2018","Canterbury Region","G427 Pharmaceutical and Other Store-Based Retailing","Geographic Units",852,
"2018","Canterbury Region","G431 Non-Store Retailing","Geographic Units",234,
"2018","Canterbury Region","G432 Retail Commission-Based Buying and/or Selling","Geographic Units",81,
"2018","Canterbury Region","G424 Recreational Goods Retailing","Geographic Units",285,
"2018","Canterbury Region","G425 Clothing, Footwear and Personal Accessories Retailing","Geographic Units",669,
"2018","Canterbury Region","G426 Department Stores","Geographic Units",45,
"2018","Canterbury Region","G421 Furniture, Floor Coverings, Houseware and Textile Goods Retailing","Geographic Units",288,
"2018","Canterbury Region","G422 Electrical and Electronic Goods Retailing","Geographic Units",219,
"2018","Canterbury Region","G423 Hardware, Building and Garden Supplies Retailing","Geographic Units",225,
"2018","Canterbury Region","G392 Motor Vehicle Parts Retailing","Geographic Units",126,
"2018","Canterbury Region","G400 Fuel Retailing","Geographic Units",159,
"2018","Canterbury Region","G412 Specialised Food Retailing","Geographic Units",345,
"2018","Canterbury Region","F372 Pharmaceutical and Toiletry Goods Wholesaling","Geographic Units",45,
"2018","Canterbury Region","F380 Commission-Based Wholesaling","Geographic Units",195,
"2018","Canterbury Region","G391 Motor Vehicle Retailing","Geographic Units",366,
"2018","Canterbury Region","F350 Motor Vehicle and Motor Vehicle Parts Wholesaling","Geographic Units",273,
"2018","Canterbury Region","F360 Grocery, Liquor and Tobacco Product Wholesaling","Geographic Units",312,
"2018","Canterbury Region","F371 Textile, Clothing and Footwear Wholesaling","Geographic Units",138,
"2018","Canterbury Region","F333 Timber and Hardware Goods Wholesaling","Geographic Units",246,
"2018","Canterbury Region","F341 Specialised Industrial Machinery and Equipment Wholesaling","Geographic Units",258,
"2018","Canterbury Region","F349 Other Machinery and Equipment Wholesaling","Geographic Units",387,
"2018","Canterbury Region","E329 Other Construction Services","Geographic Units",720,
"2018","Canterbury Region","F331 Agricultural Product Wholesaling","Geographic Units",234,
"2018","Canterbury Region","F332 Mineral, Metal and Chemical Wholesaling","Geographic Units",186,
"2018","Canterbury Region","E322 Building Structure Services","Geographic Units",669,
"2018","Canterbury Region","E323 Building Installation Services","Geographic Units",1602,
