Year,Area,ANZSIC06,Measure,Value,Flags
"2018","Canterbury Region","C20 Non-Metallic Mineral Product Manufacturing","Geographic Units",150,
"2018","Canterbury Region","C20 Non-Metallic Mineral Product Manufacturing","Employee Count",1650,
"2018","Canterbury Region","C21 Primary Metal and Metal Product Manufacturing","Geographic Units",30,
"2018","Canterbury Region","C21 Primary Metal and Metal Product Manufacturing","Employee Count",390,
"2018","Canterbury Region","C22 Fabricated Metal Product Manufacturing","Geographic Units",441,
"2018","Canterbury Region","C22 Fabricated Metal Product Manufacturing","Employee Count",3900,
"2018","Canterbury Region","C23 Transport Equipment Manufacturing","Geographic Units",183,
"2018","Canterbury Region","C23 Transport Equipment Manufacturing","Employee Count",2800,
"2018","Canterbury Region","C24 Machinery and Equipment Manufacturing","Geographic Units",624,
"2018","Canterbury Region","C24 Machinery and Equipment Manufacturing","Employee Count",5400,
"2018","Canterbury Region","C25 Furniture and Other Manufacturing","Geographic Units",354,
"2018","Canterbury Region","C25 Furniture and Other Manufacturing","Employee Count",1300,
"2018","Canterbury Region","D26  Electricity Supply","Geographic Units",27,
"2018","Canterbury Region","D26  Electricity Supply","Employee Count",1050,
"2018","Canterbury Region","D27 Gas Supply","Geographic Units",3,
"2018","Canterbury Region","D27 Gas Supply","Employee Count",80,
"2018","Canterbury Region","D28 Water Supply, Sewerage and Drainage Services","Geographic Units",27,
"2018","Canterbury Region","D28 Water Supply, Sewerage and Drainage Services","Employee Count",95,
"2018","Canterbury Region","D29 Waste Collection, Treatment and Disposal Services","Geographic Units",165,
"2018","Canterbury Region","D29 Waste Collection, Treatment and Disposal Services","Employee Count",930,
"2018","Canterbury Region","E30  Building Construction","Geographic Units",3147,
"2018","Canterbury Region","E30  Building Construction","Employee Count",8400,
"2018","Canterbury Region","E31 Heavy and Civil Engineering Construction","Geographic Units",324,
"2018","Canterbury Region","E31 Heavy and Civil Engineering Construction","Employee Count",6200,
"2018","Canterbury Region","E32 Construction Services","Geographic Units",5505,
"2018","Canterbury Region","E32 Construction Services","Employee Count",16300,
"2018","Canterbury Region","F33 Basic Material Wholesaling","Geographic Units",663,
"2018","Canterbury Region","F33 Basic Material Wholesaling","Employee Count",3800,
"2018","Canterbury Region","F34 Machinery and Equipment Wholesaling","Geographic Units",645,
"2018","Canterbury Region","F34 Machinery and Equipment Wholesaling","Employee Count",3850,
"2018","Canterbury Region","F35 Motor Vehicle and Motor Vehicle Parts Wholesaling","Geographic Units",273,
"2018","Canterbury Region","F35 Motor Vehicle and Motor Vehicle Parts Wholesaling","Employee Count",1100,
"2018","Canterbury Region","F36 Grocery, Liquor and Tobacco Product Wholesaling","Geographic Units",312,
"2018","Canterbury Region","F36 Grocery, Liquor and Tobacco Product Wholesaling","Employee Count",4300,
"2018","Canterbury Region","F37 Other Goods Wholesaling","Geographic Units",678,
"2018","Canterbury Region","F37 Other Goods Wholesaling","Employee Count",2350,
"2018","Canterbury Region","F38 Commission-Based Wholesaling","Geographic Units",195,
"2018","Canterbury Region","F38 Commission-Based Wholesaling","Employee Count",490,
"2018","Canterbury Region","G39 Motor Vehicle and Motor Vehicle Parts Retailing","Geographic Units",492,
